OBJECTID,PARK_NO,PARK,the_geom,FACILITY_N,FACILITY_T,X_COORD,Y_COORD,GISOBJID
425,1275,CHESTNUT,POINT (-87.58887796258665 41.7675458073606),BASKETBALL COURT,OUTDOOR,-87.58887796,41.76754581,1853
426,1275,CHESTNUT,POINT (-87.589143269447 41.767630039410136),PLAYGROUND PARK,OUTDOOR,-87.58914327,41.76763004,1854
427,550,CHICAGO WOMEN'S PARK AND GARDENS,POINT (-87.6217193402227 41.85722831607458),GARDEN,OUTDOOR,-87.62171934,41.85722832,1855
428,167,CHIPPEWA,POINT (-87.70546807925346 42.00452103185439),BASKETBALL COURT,OUTDOOR,-87.70546808,42.00452103,1856
429,167,CHIPPEWA,POINT (-87.70547371268697 42.00442343889181),BASKETBALL COURT,OUTDOOR,-87.70547371,42.00442344,1857
430,167,CHIPPEWA,POINT (-87.70517861491815 42.00448458230592),PLAYGROUND,OUTDOOR,-87.70517861,42.00448458,1858
431,167,CHIPPEWA,POINT (-87.70530627292077 42.004100016572096),SPRAY FEATURE,OUTDOOR,-87.70530627,42.00410002,1859
432,146,CHOPIN (FREDERIC),POINT (-87.7635622385171 41.9437814816078),BASKETBALL COURT,OUTDOOR,-87.76356224,41.94378148,1860
433,146,CHOPIN (FREDERIC),POINT (-87.76327275151401 41.94313347856058),FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.76327275,41.94313348,1861
434,146,CHOPIN (FREDERIC),POINT (-87.76286604442548 41.94385767257896),HORSESHOE COURT,OUTDOOR,-87.76286604,41.94385767,1862
435,146,CHOPIN (FREDERIC),POINT (-87.76298859938476 41.94275758461386),BASEBALL JR/SOFTBALL,OUTDOOR,-87.7629886,41.94275759,1863
436,146,CHOPIN (FREDERIC),POINT (-87.76288811951878 41.94344868262953),BASEBALL JR/SOFTBALL,OUTDOOR,-87.76288812,41.94344868,1864
437,146,CHOPIN (FREDERIC),POINT (-87.76365324328198 41.94339715334183),BASEBALL JR/SOFTBALL,OUTDOOR,-87.76365324,41.94339715,1865
438,146,CHOPIN (FREDERIC),POINT (-87.76241220238342 41.9427999877665),PLAYGROUND,OUTDOOR,-87.7624122,41.94279999,1866
439,146,CHOPIN (FREDERIC),POINT (-87.7631313702819 41.943746648813196),VOLLEYBALL (SAND),OUTDOOR,-87.76313137,41.94374665,1867
440,146,CHOPIN (FREDERIC),POINT (-87.76228923275931 41.94261327376238),SPRAY FEATURE,OUTDOOR,-87.76228923,41.94261327,1868
441,146,CHOPIN (FREDERIC),POINT (-87.76356836368187 41.942715194375864),BASEBALL SR,OUTDOOR,-87.76356836,41.9427152,1869
442,146,CHOPIN (FREDERIC),POINT (-87.7626360758271 41.94375927755837),TENNIS COURT,OUTDOOR,-87.76263608,41.94375928,1870
443,146,CHOPIN (FREDERIC),POINT (-87.76231937577379 41.94376524772668),TENNIS COURT,OUTDOOR,-87.76231938,41.94376525,1871
444,146,CHOPIN (FREDERIC),POINT (-87.76215766887961 41.943766958018436),TENNIS COURT,OUTDOOR,-87.76215767,41.94376696,1872
445,146,CHOPIN (FREDERIC),POINT (-87.76247439138207 41.943758473777734),TENNIS COURT,OUTDOOR,-87.76247439,41.94375847,1873
446,1089,CHRISTIANA,POINT (-87.70861300389872 41.85981275131232),BASKETBALL COURT,OUTDOOR,-87.708613,41.85981275,1874
447,1089,CHRISTIANA,POINT (-87.70882583826445 41.85980419229675),PLAYGROUND PARK,OUTDOOR,-87.70882584,41.85980419,1875
448,412,CHURCHILL FIELD,POINT (-87.67658973847524 41.9142547466305),DOG FRIENDLY AREA,OUTDOOR,-87.67658974,41.91425475,1876
449,412,CHURCHILL FIELD,POINT (-87.67702700711573 41.91432888288015),BASEBALL JR/SOFTBALL,OUTDOOR,-87.67702701,41.91432888,1877
450,400,CLAREMONT,POINT (-87.685008490604 41.87326844143943),PLAYGROUND,OUTDOOR,-87.68500849,41.87326844,1878
451,1002,CLARENDON COMM. CTR.,POINT (-87.64954184019243 41.96270834575671),BASKETBALL COURT,OUTDOOR,-87.64954184,41.96270835,1879
452,1002,CLARENDON COMM. CTR.,POINT (-87.64921735936679 41.963708913354395),FITNESS CENTER,INDOOR,-87.64921736,41.96370891,1880
453,1002,CLARENDON COMM. CTR.,POINT (-87.64941716741517 41.963721022100856),GYMNASIUM,INDOOR,-87.64941717,41.96372102,1881
454,1002,CLARENDON COMM. CTR.,POINT (-87.64970173316298 41.96407335412305),BOCCE COURT,SPECIAL,-87.64970173,41.96407335,1882
455,1002,CLARENDON COMM. CTR.,POINT (-87.64880920058707 41.962772161582606),BASEBALL JR/SOFTBALL,OUTDOOR,-87.6488092,41.96277216,1883
456,1002,CLARENDON COMM. CTR.,POINT (-87.64803675760288 41.96277708147869),BASEBALL JR/SOFTBALL,OUTDOOR,-87.64803676,41.96277708,1884
457,1002,CLARENDON COMM. CTR.,POINT (-87.64846146387441 41.96365147265417),BASEBALL JR/SOFTBALL,OUTDOOR,-87.64846146,41.96365147,1885
458,1002,CLARENDON COMM. CTR.,POINT (-87.64969681924246 41.963078695785754),PLAYGROUND,OUTDOOR,-87.64969682,41.9630787,1886
